AACG,13-Jan-2025,0.92,0.94,0.8851,0.94,13300
AADI,13-Jan-2025,3.58,3.588,3,3.02,441700
AADR,13-Jan-2025,69.53,69.5527,69.41,69.41,3300
AAL,13-Jan-2025,17.92,17.98,17.32,17.6,28375000
AAME,13-Jan-2025,1.42,1.53,1.42,1.53,5900
AAOI,13-Jan-2025,30.26,30.3,28.4,28.99,2203000
AAON,13-Jan-2025,120.44,123.89,118.635,123.4,598300
AAPB,13-Jan-2025,29.28,29.56,28.32,29.46,84000
AAPD,13-Jan-2025,16.42,16.64,16.31,16.33,800600
AAPL,13-Jan-2025,233.53,234.67,229.72,234.4,49531600
AAPU,13-Jan-2025,32.58,32.92,31.54,32.83,778100
AAXJ,13-Jan-2025,69.34,69.615,69.305,69.59,2285200
ABAT,13-Jan-2025,1.89,2.02,1.81,1.85,3329200
ABCL,13-Jan-2025,2.98,3.01,2.81,3,4138100
ABCS,13-Jan-2025,28.3038,28.5404,28.2999,28.5404,2100
ABEO,13-Jan-2025,5.48,5.64,5.31,5.61,267100
ABL,13-Jan-2025,6.92,7.175,6.75,7.11,449600
ABLLL,13-Jan-2025,26.1,26.8968,26.1,26.745,19300
ABLLW,13-Jan-2025,0.95,1.02,0.94,0.98,13500
ABLVW,13-Jan-2025,0.0248,0.0248,0.02,0.0212,100300
ABNB,13-Jan-2025,128.59,130.13,128.08,128.85,3507900
ABOS,13-Jan-2025,1.63,1.64,1.565,1.59,356600
ABP,13-Jan-2025,1.4,1.43,1.3,1.3,43800
ABSI,13-Jan-2025,2.8,2.86,2.7,2.85,3475100
ABTS,13-Jan-2025,0.47,0.5,0.45,0.5,64100
ABUS,13-Jan-2025,3.25,3.355,3.13,3.35,1059200
ABVC,13-Jan-2025,0.5102,0.54,0.5102,0.53,114300
ABVE,13-Jan-2025,0.46,0.4987,0.442,0.45,31700
ABVEW,13-Jan-2025,0.0263,0.0279,0.0263,0.0278,6000
ABVX,13-Jan-2025,6.38,6.625,6.05,6.5,114100
ACAD,13-Jan-2025,17.23,17.91,17,17.9,2059900
ACB,13-Jan-2025,4.22,4.22,3.91,4.03,858500
ACCD,13-Jan-2025,6.83,6.9,6.82,6.83,4907100
ACDC,13-Jan-2025,7.77,8.16,7.67,8.02,614100
ACET,13-Jan-2025,0.9,0.91,0.85,0.87,469100
ACGL,13-Jan-2025,89.84,91.325,89.47,90.83,1512500
ACGLN,13-Jan-2025,17.62,17.6839,17.35,17.6,86300
ACGLO,13-Jan-2025,21.1,21.2771,20.78,20.79,43100
ACHC,13-Jan-2025,44.47,47.08,43.905,45.41,1963700
ACHL,13-Jan-2025,1.18,1.18,1.13,1.16,182500
ACHV,13-Jan-2025,3.37,3.48,3.26,3.32,169100
ACIC,13-Jan-2025,11.95,12.23,11.585,12.01,268100
ACIU,13-Jan-2025,2.67,2.72,2.6,2.61,178600
ACIW,13-Jan-2025,50.36,51.7,50.3,51.62,588600
ACLS,13-Jan-2025,68.08,68.91,66.75,68.77,489200
ACLX,13-Jan-2025,68.51,69.07,65.18,67.36,568600
ACMR,13-Jan-2025,15.19,15.53,14.97,15.49,710500
ACNB,13-Jan-2025,36.36,37.51,36.36,37.18,12400
ACNT,13-Jan-2025,11.33,11.35,11.25,11.25,8300
ACOG,13-Jan-2025,6.01,6.15,5.8,6.09,56700
ACON,13-Jan-2025,0.1178,0.1178,0.1062,0.1092,3956100
ACONW,13-Jan-2025,0.0276,0.0389,0.0214,0.0359,74900
ACRS,13-Jan-2025,2.46,2.49,2.3809,2.48,2164500
ACRV,13-Jan-2025,5.46,5.56,5.32,5.51,33100
ACT,13-Jan-2025,30.94,31.58,30.94,31.52,158700
ACTG,13-Jan-2025,4.2,4.32,4.165,4.32,183500
ACTU,13-Jan-2025,7.99,8.27,7.8684,8.08,14700
ACVA,13-Jan-2025,20.33,20.92,20.33,20.78,1616700
ACWI,13-Jan-2025,115.28,116.37,115.05,116.35,2217500
ACWX,13-Jan-2025,51.08,51.39,51.08,51.39,1414900
